Cooling Curve : CIE:[Fe/H] = +0.5											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar

4.10	0.0711	1.000	1.103	-22.98	-21.88	-11.51	10.29	2.055	2.486	9.092	2.117
4.15	0.2547	1.000	1.103	-22.26	-21.71	-11.40	10.17	2.666	2.486	10.36	1.831
4.20	0.5700	1.000	1.103	-21.80	-21.60	-11.26	10.11	3.686	2.486	12.18	1.486
4.25	0.8202	1.000	1.103	-21.64	-21.60	-11.15	10.16	4.755	2.486	13.83	1.293
4.30	0.9356	1.000	1.103	-21.61	-21.62	-11.07	10.24	5.655	2.487	15.08	1.220
4.35	0.9812	1.000	1.103	-21.57	-21.60	-11.01	10.27	6.487	2.487	16.15	1.193
4.40	1.008	1.000	1.103	-21.48	-21.53	-10.96	10.24	7.371	2.487	17.22	1.178
4.45	1.039	1.000	1.103	-21.36	-21.42	-10.90	10.19	8.393	2.487	18.37	1.161
4.50	1.071	1.000	1.103	-21.22	-21.30	-10.85	10.11	9.559	2.487	19.61	1.144
4.55	1.090	1.000	1.103	-21.09	-21.17	-10.79	10.04	10.82	2.487	20.86	1.134
4.60	1.098	1.000	1.103	-20.97	-21.05	-10.74	9.969	12.19	2.487	22.14	1.130
4.65	1.102	1.000	1.103	-20.86	-20.94	-10.69	9.911	13.69	2.487	23.47	1.128
4.70	1.104	1.000	1.103	-20.75	-20.83	-10.64	9.852	15.38	2.487	24.87	1.127
4.75	1.107	1.000	1.103	-20.65	-20.74	-10.59	9.803	17.28	2.487	26.36	1.125
4.80	1.116	1.000	1.103	-20.57	-20.66	-10.54	9.776	19.46	2.487	27.98	1.121
4.85	1.134	1.000	1.103	-20.50	-20.59	-10.48	9.763	22.02	2.487	29.76	1.112
4.90	1.160	1.000	1.103	-20.43	-20.54	-10.43	9.753	25.00	2.487	31.71	1.099
4.95	1.183	1.000	1.103	-20.39	-20.50	-10.37	9.772	28.33	2.487	33.75	1.088
5.00	1.197	1.000	1.103	-20.39	-20.51	-10.32	9.827	31.97	2.487	35.86	1.082
5.05	1.204	1.000	1.103	-20.42	-20.54	-10.27	9.909	35.99	2.487	38.04	1.078
5.10	1.208	1.000	1.103	-20.42	-20.55	-10.22	9.961	40.44	2.487	40.33	1.076
5.15	1.210	1.000	1.103	-20.40	-20.52	-10.17	9.992	45.42	2.487	42.74	1.075
5.20	1.211	1.000	1.103	-20.37	-20.49	-10.12	10.01	50.99	2.487	45.28	1.075
5.25	1.212	1.000	1.103	-20.35	-20.48	-10.07	10.04	57.24	2.487	47.98	1.074
5.30	1.213	1.000	1.103	-20.34	-20.47	-10.02	10.08	64.26	2.487	50.83	1.074
5.35	1.215	1.000	1.103	-20.34	-20.46	-9.969	10.13	72.14	2.487	53.86	1.073
5.40	1.216	1.000	1.103	-20.37	-20.50	-9.919	10.21	81.00	2.487	57.07	1.072
5.45	1.219	1.000	1.103	-20.51	-20.63	-9.868	10.40	90.97	2.487	60.48	1.071
5.50	1.221	1.000	1.103	-20.73	-20.86	-9.818	10.68	102.20	2.487	64.09	1.070
5.55	1.221	1.000	1.103	-20.93	-21.06	-9.768	10.93	114.70	2.487	67.91	1.070
5.60	1.222	1.000	1.103	-21.05	-21.18	-9.717	11.10	128.70	2.487	71.94	1.070
5.65	1.222	1.000	1.103	-21.09	-21.22	-9.667	11.19	144.4	2.487	76.21	1.069
5.70	1.223	1.000	1.103	-21.09	-21.22	-9.617	11.24	162.1	2.487	80.73	1.069
5.75	1.223	1.000	1.103	-21.09	-21.22	-9.567	11.29	181.9	2.487	85.52	1.069
5.80	1.224	1.000	1.103	-21.14	-21.27	-9.517	11.39	204.1	2.487	90.60	1.069
5.85	1.224	1.000	1.103	-21.24	-21.38	-9.467	11.54	229.1	2.487	95.98	1.069
5.90	1.225	1.000	1.103	-21.32	-21.45	-9.417	11.67	257.1	2.487	101.70	1.068
5.95	1.226	1.000	1.103	-21.34	-21.47	-9.367	11.74	288.5	2.487	107.7	1.068
6.00	1.226	1.000	1.103	-21.35	-21.48	-9.317	11.80	323.8	2.487	114.1	1.068
6.05	1.227	1.000	1.103	-21.35	-21.48	-9.266	11.85	363.4	2.487	120.9	1.067
6.10	1.227	1.000	1.103	-21.34	-21.47	-9.216	11.89	407.9	2.487	128.1	1.067
6.15	1.228	1.000	1.103	-21.33	-21.46	-9.166	11.93	457.9	2.487	135.7	1.067
6.20	1.229	1.000	1.103	-21.32	-21.46	-9.116	11.97	513.9	2.487	143.8	1.066
6.25	1.230	1.000	1.103	-21.35	-21.49	-9.066	12.05	576.8	2.487	152.3	1.066
6.30	1.231	1.000	1.103	-21.46	-21.59	-9.016	12.21	647.5	2.487	161.4	1.066
6.35	1.232	1.000	1.103	-21.59	-21.73	-8.966	12.39	726.8	2.487	171.0	1.065
6.40	1.233	1.000	1.103	-21.71	-21.85	-8.915	12.56	815.8	2.487	181.1	1.065
6.45	1.234	1.000	1.103	-21.80	-21.94	-8.865	12.70	915.7	2.487	191.9	1.064
6.50	1.234	1.000	1.103	-21.86	-22.00	-8.815	12.81	1027.7	2.487	203.3	1.064
6.55	1.235	1.000	1.103	-21.90	-22.03	-8.765	12.90	1153.3	2.487	215.4	1.064
6.60	1.235	1.000	1.103	-21.93	-22.07	-8.715	12.98	1294.3	2.487	228.1	1.064
6.65	1.236	1.000	1.103	-21.96	-22.10	-8.665	13.06	1452.5	2.487	241.7	1.063
6.70	1.236	1.000	1.103	-22.00	-22.14	-8.615	13.15	1629.9	2.487	256.0	1.063
6.75	1.236	1.000	1.103	-22.04	-22.17	-8.565	13.24	1829.0	2.487	271.2	1.063
6.80	1.237	1.000	1.103	-22.06	-22.20	-8.515	13.31	2052.3	2.487	287.3	1.063
6.85	1.237	1.000	1.103	-22.06	-22.20	-8.465	13.36	2303.0	2.487	304.3	1.063
6.90	1.237	1.000	1.103	-22.05	-22.18	-8.415	13.40	2584.2	2.487	322.4	1.063
6.95	1.237	1.000	1.103	-22.04	-22.17	-8.365	13.44	2899.7	2.487	341.5	1.063
7.00	1.237	1.000	1.103	-22.04	-22.17	-8.315	13.49	3253.8	2.487	361.7	1.063
7.05	1.237	1.000	1.103	-22.06	-22.20	-8.265	13.56	3651.2	2.487	383.2	1.063
7.10	1.238	1.000	1.103	-22.11	-22.24	-8.214	13.66	4097.0	2.487	405.9	1.063
7.15	1.238	1.000	1.103	-22.16	-22.30	-8.164	13.76	4597.2	2.487	430.0	1.062
7.20	1.238	1.000	1.103	-22.21	-22.35	-8.114	13.86	5158.4	2.487	455.4	1.062
7.25	1.238	1.000	1.103	-22.26	-22.40	-8.064	13.96	5788.0	2.487	482.4	1.062
7.30	1.238	1.000	1.103	-22.30	-22.43	-8.014	14.05	6494.4	2.487	511.0	1.062
7.35	1.238	1.000	1.103	-22.32	-22.46	-7.964	14.12	7287.0	2.487	541.3	1.062
7.40	1.238	1.000	1.103	-22.35	-22.48	-7.914	14.20	8176.3	2.487	573.4	1.062
7.45	1.238	1.000	1.103	-22.36	-22.49	-7.864	14.26	9174.0	2.487	607.4	1.062
7.50	1.238	1.000	1.103	-22.37	-22.50	-7.814	14.32	10293.6	2.487	643.4	1.062
