Cooling Curve : CIE:[Fe/H] = -1.0											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar

4.00	0.0022	1.000	1.064	-25.94	-23.31	-11.66	11.63	1.483	2.125	8.354	1.992
4.05	0.0141	1.000	1.064	-24.61	-22.78	-11.60	11.15	1.683	2.125	8.898	1.971
4.10	0.0702	1.000	1.064	-23.49	-22.36	-11.53	10.78	1.986	2.125	9.667	1.873
4.15	0.2529	1.000	1.064	-22.60	-22.03	-11.41	10.50	2.587	2.125	11.03	1.613
4.20	0.5667	1.000	1.064	-22.10	-21.88	-11.27	10.40	3.595	2.126	13.00	1.303
4.25	0.8163	1.000	1.064	-21.95	-21.89	-11.16	10.45	4.650	2.126	14.79	1.130
4.30	0.9312	1.000	1.064	-21.99	-21.98	-11.08	10.60	5.537	2.126	16.14	1.065
4.35	0.9758	1.000	1.064	-22.07	-22.08	-11.02	10.75	6.351	2.126	17.28	1.042
4.40	0.9984	1.000	1.064	-22.13	-22.16	-10.97	10.87	7.205	2.126	18.41	1.031
4.45	1.021	1.000	1.064	-22.15	-22.19	-10.91	10.95	8.172	2.126	19.61	1.020
4.50	1.043	1.000	1.064	-22.15	-22.19	-10.86	11.01	9.265	2.126	20.88	1.009
4.55	1.055	1.000	1.064	-22.11	-22.16	-10.81	11.03	10.46	2.126	22.18	1.003
4.60	1.061	1.000	1.064	-22.06	-22.11	-10.76	11.03	11.76	2.126	23.52	1.000
4.65	1.063	1.000	1.064	-21.98	-22.04	-10.71	11.00	13.21	2.126	24.93	0.999
4.70	1.064	1.000	1.064	-21.90	-21.95	-10.66	10.97	14.83	2.126	26.41	0.999
4.75	1.066	1.000	1.064	-21.81	-21.86	-10.61	10.93	16.66	2.126	27.99	0.998
4.80	1.071	1.000	1.064	-21.72	-21.77	-10.55	10.89	18.73	2.126	29.68	0.996
4.85	1.082	1.000	1.064	-21.63	-21.69	-10.50	10.86	21.13	2.126	31.53	0.990
4.90	1.099	1.000	1.064	-21.57	-21.64	-10.45	10.85	23.90	2.126	33.53	0.983
4.95	1.114	1.000	1.064	-21.54	-21.61	-10.40	10.88	26.99	2.126	35.63	0.976
5.00	1.122	1.000	1.064	-21.53	-21.60	-10.34	10.92	30.40	2.126	37.81	0.973
5.05	1.126	1.000	1.064	-21.52	-21.60	-10.29	10.96	34.17	2.126	40.09	0.971
5.10	1.127	1.000	1.064	-21.50	-21.58	-10.24	11.00	38.37	2.126	42.48	0.970
5.15	1.128	1.000	1.064	-21.47	-21.55	-10.19	11.02	43.07	2.126	45.01	0.970
5.20	1.129	1.000	1.064	-21.44	-21.52	-10.14	11.04	48.33	2.126	47.68	0.969
5.25	1.129	1.000	1.064	-21.41	-21.49	-10.09	11.06	54.23	2.126	50.51	0.969
5.30	1.129	1.000	1.064	-21.38	-21.46	-10.04	11.08	60.86	2.126	53.50	0.969
5.35	1.129	1.000	1.064	-21.36	-21.44	-9.993	11.11	68.29	2.126	56.67	0.969
5.40	1.129	1.000	1.064	-21.40	-21.48	-9.943	11.20	76.63	2.126	60.03	0.969
5.45	1.130	1.000	1.064	-21.53	-21.61	-9.893	11.38	85.99	2.126	63.59	0.969
5.50	1.130	1.000	1.064	-21.75	-21.84	-9.843	11.65	96.49	2.126	67.37	0.969
5.55	1.130	1.000	1.064	-21.95	-22.03	-9.793	11.90	108.3	2.126	71.36	0.969
5.60	1.130	1.000	1.064	-22.07	-22.15	-9.743	12.07	121.5	2.126	75.59	0.969
5.65	1.130	1.000	1.064	-22.11	-22.19	-9.693	12.16	136.3	2.126	80.07	0.969
5.70	1.130	1.000	1.064	-22.12	-22.20	-9.643	12.22	152.9	2.126	84.81	0.969
5.75	1.130	1.000	1.064	-22.14	-22.22	-9.593	12.29	171.6	2.126	89.84	0.969
5.80	1.130	1.000	1.064	-22.20	-22.28	-9.543	12.40	192.5	2.126	95.16	0.969
5.85	1.130	1.000	1.064	-22.33	-22.41	-9.493	12.58	216.0	2.126	100.8	0.969
5.90	1.130	1.000	1.064	-22.45	-22.53	-9.443	12.75	242.4	2.126	106.8	0.969
5.95	1.130	1.000	1.064	-22.51	-22.59	-9.393	12.86	272.0	2.126	113.1	0.969
6.00	1.130	1.000	1.064	-22.55	-22.63	-9.343	12.95	305.2	2.126	119.8	0.969
6.05	1.130	1.000	1.064	-22.58	-22.66	-9.293	13.03	342.4	2.126	126.9	0.969
6.10	1.131	1.000	1.064	-22.60	-22.68	-9.242	13.10	384.2	2.126	134.4	0.969
6.15	1.131	1.000	1.064	-22.59	-22.67	-9.192	13.14	431.1	2.126	142.4	0.969
6.20	1.131	1.000	1.064	-22.59	-22.67	-9.142	13.19	483.7	2.126	150.8	0.969
6.25	1.131	1.000	1.064	-22.61	-22.69	-9.092	13.26	542.8	2.126	159.8	0.969
